Country,Commodity type,srcYear,Imports or exports,Quantity of imports or exports of principal agricultural commodities ,Value of imports or exports of principal agricultural commodities ,YearCode,Year
India,Tobacco unmanufactured,2011-12,Imports,2.02,68.57,2011,"Financial Year (Apr - Mar), 2011"
India,Total Agricultural Imports,2011-12,Imports,,70164.51,2011,"Financial Year (Apr - Mar), 2011"
India,Sheep/goat meat,2011-12,Exports,10.94,252.83,2011,"Financial Year (Apr - Mar), 2011"
India,Guargam meal,2011-12,Exports,702.73,16523.87,2011,"Financial Year (Apr - Mar), 2011"
India,Other meat,2011-12,Exports,0.32,3.67,2011,"Financial Year (Apr - Mar), 2011"
India,Tobacco manufactured,2011-12,Exports,,1106.96,2011,"Financial Year (Apr - Mar), 2011"
India,Total National Imports,2011-12,Imports,,2345463.24,2011,"Financial Year (Apr - Mar), 2011"
India,Niger seeds,2011-12,Imports,0.12,0.39,2011,"Financial Year (Apr - Mar), 2011"
India,Coffee,2011-12,Exports,276.52,4534.62,2011,"Financial Year (Apr - Mar), 2011"
India,Processed meat,2011-12,Exports,0.58,9.5,2011,"Financial Year (Apr - Mar), 2011"
India,Tobacco manufactured,2011-12,Imports,,113.01,2011,"Financial Year (Apr - Mar), 2011"
India,Percentage Share of Agricultural Imports in National Imports,2011-12,Imports,,2.99,2011,"Financial Year (Apr - Mar), 2011"
India,Dairy products,2011-12,Exports,,647.79,2011,"Financial Year (Apr - Mar), 2011"
India,Oil meals,2011-12,Exports,7405.19,11796.46,2011,"Financial Year (Apr - Mar), 2011"
India,Cocoa products,2011-12,Imports,5.08,934.32,2011,"Financial Year (Apr - Mar), 2011"
India,Fresh fruits,2011-12,Exports,488,1937.22,2011,"Financial Year (Apr - Mar), 2011"
India,Tobacco unmanufactured,2011-12,Exports,197.17,2899.46,2011,"Financial Year (Apr - Mar), 2011"
India,Cereal preparations,2011-12,Imports,45.82,316.39,2011,"Financial Year (Apr - Mar), 2011"
India,Poultry products,2011-12,Exports,,458.05,2011,"Financial Year (Apr - Mar), 2011"
India,Milled products,2011-12,Imports,2.88,11.88,2011,"Financial Year (Apr - Mar), 2011"
India,Total National Exports,2011-12,Exports,,1465959.31,2011,"Financial Year (Apr - Mar), 2011"
India,Percentage Share of Agricultural Exports in National Exports,2011-12,Exports,,12.47,2011,"Financial Year (Apr - Mar), 2011"
India,Processed fruits and juices,2011-12,Imports,,314.93,2011,"Financial Year (Apr - Mar), 2011"
India,Vegetable oils,2011-12,Exports,29.67,269.1,2011,"Financial Year (Apr - Mar), 2011"
India,Misc processed items,2011-12,Imports,,915.19,2011,"Financial Year (Apr - Mar), 2011"
India,Wheat,2011-12,Exports,749.63,1023.2,2011,"Financial Year (Apr - Mar), 2011"
India,Fruits/vegetable seeds,2011-12,Exports,15.21,287.76,2011,"Financial Year (Apr - Mar), 2011"
India,Processed vegetables,2011-12,Imports,,120.19,2011,"Financial Year (Apr - Mar), 2011"
India,Floriculture products,2011-12,Exports,,365.32,2011,"Financial Year (Apr - Mar), 2011"
India,Animal casings,2011-12,Imports,0,0,2011,"Financial Year (Apr - Mar), 2011"
India,Fresh vegetables,2011-12,Exports,2040.45,3023.31,2011,"Financial Year (Apr - Mar), 2011"
India,Alcoholic beverages,2011-12,Exports,,1469.07,2011,"Financial Year (Apr - Mar), 2011"
India,Fresh vegetables,2011-12,Imports,5.04,7.31,2011,"Financial Year (Apr - Mar), 2011"
India,Other oil seeds,2011-12,Exports,61.81,201.43,2011,"Financial Year (Apr - Mar), 2011"
India,Buffalo meat,2011-12,Imports,0,0,2011,"Financial Year (Apr - Mar), 2011"
India,Spices,2011-12,Imports,146.77,2284.85,2011,"Financial Year (Apr - Mar), 2011"
India,Fresh fruits,2011-12,Imports,723.27,4610.84,2011,"Financial Year (Apr - Mar), 2011"
India,Cashew,2011-12,Imports,811.9,5381.43,2011,"Financial Year (Apr - Mar), 2011"
India,Marine products,2011-12,Exports,902.41,16584.71,2011,"Financial Year (Apr - Mar), 2011"
India,Sheep/goat meat,2011-12,Imports,0.01,0.21,2011,"Financial Year (Apr - Mar), 2011"
